Symbol,Date,Open,High,Low,Close,Volume
A,17-May-2021,130.84,131.05,129.905,130.11,886700
AA,17-May-2021,39.55,40.7,38.57,40.68,4771700
AAC,17-May-2021,9.82,9.82,9.76,9.76,71500
AAC.U,17-May-2021,9.98,10,9.97,10,196500
AAC.W,17-May-2021,0.9,1.005,0.9,0.95,19800
AAI-B,17-May-2021,24.725,24.725,24.6,24.6,1000
AAI-C,17-May-2021,24.11,24.4,24.11,24.3972,10200
AAIC,17-May-2021,3.99,4.05,3.98,4.02,244200
AAN,17-May-2021,32.14,33.125,32.02,32.73,255800
AAP,17-May-2021,203.91,204.76,202.01,204.58,825300
AAQ.U,17-May-2021,9.98,10.01,9.97,10,110500
AAQ.W,17-May-2021,0.77,0.77,0.77,0.77,22300
AAQC,17-May-2021,9.72,9.75,9.68,9.75,600
AAT,17-May-2021,36.11,36.14,35.09,35.41,542800
AB,17-May-2021,44.3,44.35,43.28,43.68,395500
ABB,17-May-2021,33.86,33.9653,33.683,33.83,2041100
ABBV,17-May-2021,116.77,117.71,116.56,116.89,6182800
ABC,17-May-2021,116.31,118.82,113.87,118.11,1144000
ABEV,17-May-2021,3.27,3.37,3.26,3.34,20300600
ABG,17-May-2021,209.47,210.63,206.135,206.49,148400
ABM,17-May-2021,53.06,53.4736,52.46,52.88,202600
ABR,17-May-2021,17.65,17.78,17.39,17.74,1617200
ABR-A,17-May-2021,25.97,25.97,25.95,25.97,2000
ABR-B,17-May-2021,26.0065,26.0065,26,26,600
ABR-C,17-May-2021,26.175,26.4045,26.175,26.19,4300
ABT,17-May-2021,118,118.35,116.67,116.74,3732400
AC,17-May-2021,35.91,36.47,35.81,35.81,10300
ACA,17-May-2021,62.07,62.67,61.08,62.29,136000
ACB,17-May-2021,6.85,7.08,6.66,7.02,6919300
ACC,17-May-2021,46.69,46.94,46.35,46.66,754100
ACCO,17-May-2021,9.65,9.7,9.45,9.65,553000
ACEL,17-May-2021,13.38,13.5,12.75,13.47,316500
ACH,17-May-2021,14.41,14.6,14.31,14.6,136900
ACI,17-May-2021,19.24,19.6779,19.24,19.51,1061800
ACI.S,17-May-2021,10.05,10.05,9.97,10,66100
